"Gender not selected", "Genre non sélectionné"
"Birthday not selected", "Anniversaire non sélectionné"
"Birthday is invalid", "Anniversaire non valide"
"Provided date is not valid", "La date fournie n'est pas valide"
"Internal invoice (InvoiceObserver) error", "Erreur de facture interne (InvoiceObserver)"
"Invalid payment plan", "Plan de paiement non valide"
"Please select installment send way", "S'il vous plaît sélectionnez le mode de livraison d'acompte"
"Invoice send way invalid address", "Invoice send way invalid address"
"Provide information", "Fournir des informations"
"Gender", "Le genre"
"Date of birth", "Date de naissance"
"Select invoice delivery method", "Sélectionnez la méthode de livraison de la facture"
"Place Order", "Passer la commande"
"Select payment plan", "Sélectionnez le plan de paiement"
"(T&C)", "(CGC)"
"Delivery method by E-Mail", "Expédition facture via e-mail"
"Delivery method by Post", "Expédition facture sous forme papier"
"DD.MM.YYYY", "JJ.MM.AAAA"
"Company registration number", "Numéro d'entreprise"
"Company registration number not provided", "Numéro d'enregistrement de l'entreprise non fourni"
